userId,choreTypeName
365772324,חדא אמצש
991561756,שמירה
804629917,תרבות
074040626,חדא אמצש
200065857,בישול שבת
560176995,שמירה
339805031,חדא אמצש
702624878,שמירה
281912123,חדא אמצש
252545859,תרבות
421942009,תרבות
900261801,שטיפה
377340982,חדא אמצש
231268851,חדא אמצש
863966014,שטיפה
229971094,חדא אמצש
600385201,שטיפה
635310198,תרבות
774350597,בקר
240390677,בישול שבת
002070472,בישול שבת
477660204,חדא אמצש
215922586,שטיפה
087458946,חדא אמצש
999809245,תרבות
611721739,חדא אמצש
326031543,שמירה
786639294,שטיפה
896433155,תרבות
845902065,שטיפה
221242652,תרבות
435786324,חדא אמצש
403255844,שמירה
935485554,בישול שבת
733017154,חדא אמצש
018161780,תרבות
500655545,תרבות
829003854,חדא אמצש
541487641,בקר
565772044,תרבות
240390677,בקר
497245534,חדא אמצש
848402531,חדא אמצש
187612268,תרבות
062351869,חדא אמצש
240390677,חדא אמצש
337529867,חדא אמצש
397499061,בישול שבת
898191608,שטיפה
657101496,שטיפה
597754353,שטיפה
062395479,שמירה
966042854,חדא אמצש
281741752,תרבות
561933550,שטיפה
611721739,בישול שבת
885731447,חדא אמצש
185891412,חדא אמצש
943555442,שמירה
702645412,שטיפה
231885469,חדא אמצש
934444007,חדא אמצש
427671993,שטיפה
543709257,שטיפה
873224266,תרבות
328670390,חדא אמצש
525837449,שטיפה
277894686,שטיפה
642466894,שמירה
326031543,תרבות
082000655,תרבות
031734064,שטיפה
799114607,חדא אמצש
133047101,שטיפה
990690836,חדא אמצש
259780194,שמירה
226601535,שטיפה
884065511,שמירה
922733899,בישול שבת
555725487,תרבות
943555442,תרבות
656087802,חדא אמצש
474505687,חדא אמצש
326501808,שטיפה
278129156,שמירה
364111822,שמירה
801892732,תרבות
143327192,חדא אמצש
239607516,שמירה
337248976,חדא אמצש
626225718,חדא אמצש
444712296,תרבות
849506226,שמירה
373031318,שמירה
842414799,חדא אמצש
194536467,חדא אמצש
985364823,שטיפה
087406880,תרבות
280424426,שטיפה
185891412,שטיפה
833659428,שמירה
957285362,חדא אמצש
325040953,בקר
107448715,תרבות
203895641,תרבות
130526707,שטיפה
719379389,חדא אמצש
545825500,חדא אמצש
022825031,חדא אמצש
166182181,תרבות
892435077,תרבות
264810214,בישול שבת
486821956,חדא אמצש
977542963,שמירה
807666918,חדא אמצש
616020145,חדא אמצש
471046851,תרבות
017114116,שטיפה
991392499,שטיפה
417446645,תרבות
952484274,חדא אמצש
863003871,שטיפה
305771879,תרבות
487990985,תרבות
687500122,שטיפה
277894686,חדא אמצש
110597906,שמירה
830295646,חדא אמצש
666106654,שטיפה
431601280,תרבות
