userId,categoryId
549963652,1
804790549,2
972350803,3
900261801,4
952484274,5
990927574,6
767592302,7
824722032,8
997674091,9
650304743,10
837235000,1
981198949,2
081728433,3
358907060,4
585209142,5
912930258,6
206733738,7
564722225,8
364111822,9
025497965,10
376475185,1
033012701,2
436759840,3
002070472,4
564223498,5
127040567,6
957285362,7
933079674,8
620383703,9
958442098,10
493121602,1
279292347,2
464406990,3
773195647,4
173427430,5
629699704,6
667716327,7
605356455,8
654074593,9
053594577,10
311406006,1
468665062,2
166182181,3
605944574,4
885126211,5
483022715,6
514448179,7
162631453,8
428811114,9
497245534,10
100335463,1
373031318,2
668529305,3
215520373,4
795376926,5
151173459,6
585566509,7
009805535,8
299523749,9
092445625,10
825553521,1
305771879,2
236792183,3
381128097,4
287167677,5
293970060,6
720449741,7
990690836,8
158421571,9
103202140,10
992272162,1
422771209,2
987373472,3
828537513,4
656087802,5
073372950,6
838230603,7
351368627,8
047616626,9
303017057,10
635310198,1
728202745,2
358116332,3
896433155,4
848519781,5
361017902,6
440077642,7
024897126,8
122823229,9
064380420,10
895147661,1
719286014,2
267008970,3
066775658,4
101761140,5
750669412,6
959533775,7
527851563,8
291438832,9
681856736,10
625430991,1
201737043,2
984638008,3
306045192,4
830295646,5
584132402,6
770513428,7
487691880,8
255896305,9
116789418,10
642158767,1
423866375,2
791228935,3
474505687,4
269210025,5
597790271,6
770057641,7
235775072,8
894594679,9
543709257,10
766019688,1
528291503,2
330781628,3
443108577,4
823487662,5
196756353,6
832513448,7
074040626,8
968162389,9
136677787,10
284856317,1
897000613,2
786587078,3
347348111,4
781218030,5
425307349,6
221242652,7
194536467,8
057915835,9
144256871,10
251359195,1
397499061,2
760924784,3
180429765,4
037752878,5
576713925,6
687802825,7
590552161,8
339805031,9
664006767,10
100229800,1
982922623,2
452677408,3
187206917,4
129382077,5
850224962,6
628893174,7
049426216,8
525391059,9
042362945,10
201720951,1
485344529,2
264810214,3
991392499,4
867141023,5
685289270,6
800308426,7
789804557,8
617845920,9
551593733,10
196743930,1
443945705,2
144600433,3
882651719,4
231885469,5
863966014,6
058454827,7
209019351,8
439074790,9
861927188,10
681215623,1
516186140,2
431992650,3
921899757,4
314110804,5
466486654,6
673008391,7
705570488,8
