userId,eventType,eventId
265020582,Announcements,1
431601280,Announcements,2
748164906,Announcements,3
377340982,Announcements,4
221799355,Announcements,5
983148773,Announcements,6
471046851,Announcements,7
667404838,Announcements,8
418471257,Announcements,9
884065511,Announcements,10
869253164,Announcements,11
923032923,Announcements,12
719070962,Announcements,13
762427956,Announcements,14
789147633,Announcements,15
315826201,Announcements,16
940754796,Announcements,17
689084425,Announcements,18
278702509,Announcements,19
265020582,Announcements,20
890969724,Announcements,21
720449741,Announcements,22
508967170,Announcements,23
961836756,Announcements,24
187612268,Announcements,25
841922502,Announcements,26
505318184,Announcements,27
601108303,Announcements,28
616314141,Announcements,29
617845920,Announcements,30
431992650,Announcements,31
169657594,Announcements,32
866267493,Announcements,33
941758540,Announcements,34
243699951,Announcements,35
941758540,Announcements,36
231268851,Announcements,37
439415245,Announcements,38
791085507,Announcements,39
966784135,Announcements,40
146544828,Announcements,41
373364168,Announcements,42
645061095,Announcements,43
842414799,Announcements,44
811132286,Announcements,45
505792466,Announcements,46
347983092,Announcements,47
681735219,Announcements,48
490638973,Announcements,49
394715868,Announcements,50
626125772,Announcements,51
585209142,Announcements,52
440095447,Announcements,53
949773409,Announcements,54
129382077,Announcements,55
117402902,Announcements,56
120109825,Announcements,57
572553098,Announcements,58
508823430,Announcements,59
934444007,Announcements,60
831799272,Announcements,61
255198104,Announcements,62
353856698,Announcements,63
183750138,Announcements,64
748164906,Announcements,65
211127786,Announcements,66
317534242,Announcements,67
403790958,Announcements,68
440077642,Announcements,69
503333193,Announcements,70
095793764,Announcements,71
740872313,Announcements,72
596771164,Announcements,73
791085507,Announcements,74
376213835,Announcements,75
973966161,Announcements,76
008194197,Announcements,77
984407939,Announcements,78
830295646,Announcements,79
408212324,Announcements,80
585935374,Announcements,81
042362945,Announcements,82
057915835,Announcements,83
122823229,Announcements,84
009805535,Announcements,85
497245534,Announcements,86
900261801,Announcements,87
978793897,Announcements,88
328426466,Announcements,89
473653499,Announcements,90
971925565,Announcements,91
860676126,Announcements,92
281570894,Announcements,93
588180501,Announcements,94
444543787,Announcements,95
166182181,Announcements,96
544359761,Announcements,97
072165440,Announcements,98
042362945,Announcements,99
952425516,Announcements,100
672498336,Announcements,101
527851563,Announcements,102
752158129,Announcements,103
339805031,Announcements,104
201737043,Announcements,105
411114746,Announcements,106
166638529,Announcements,107
985364823,Announcements,108
100229800,Announcements,109
906715266,Announcements,110
103747374,Announcements,111
750669412,Announcements,112
668291889,Announcements,113
402968085,Announcements,114
333832610,Announcements,115
550140752,Announcements,116
466486654,Announcements,117
798486511,Announcements,118
000824216,Announcements,119
564722225,Announcements,120
033012701,Announcements,121
786639294,Announcements,122
941758540,Announcements,123
524235995,Announcements,124
020106829,Announcements,125
293614497,Announcements,126
173275665,Announcements,127
015371975,Announcements,128
921263865,Announcements,129
794508129,Announcements,130
485344529,Announcements,131
952484274,Announcements,132
736476867,Announcements,133
971925565,Announcements,134
740872313,Announcements,135
782988313,Announcements,136
739046914,Announcements,137
421942009,Announcements,138
223814989,Announcements,139
774350597,Announcements,140
311406006,Announcements,141
033012701,Announcements,142
443808602,Announcements,143
848402531,Announcements,144
661170061,Announcements,145
971059546,Announcements,146
388351501,Announcements,147
940313678,Announcements,148
443808602,Announcements,149
322768120,Announcements,150
600385201,Announcements,151
262788041,Announcements,152
973966161,Announcements,153
350652952,Announcements,154
949570089,Announcements,155
992089248,Announcements,156
127040567,Announcements,157
562735726,Announcements,158
311713632,Announcements,159
864699724,Announcements,160
392733362,Announcements,161
221242652,Announcements,162
127040567,Announcements,163
396197742,Announcements,164
394715868,Announcements,165
661170061,Announcements,166
816846683,Announcements,167
388351501,Announcements,168
851420918,Announcements,169
335141342,Announcements,170
418110517,Announcements,171
982922623,Announcements,172
311406006,Announcements,173
645705210,Announcements,174
894594679,Announcements,175
866318517,Announcements,176
193778651,Announcements,177
866318517,Announcements,178
223814989,Announcements,179
560176995,Announcements,180
957538494,Announcements,181
981198949,Announcements,182
473682313,Announcements,183
884787114,Announcements,184
884065511,Announcements,185
547623982,Announcements,186
101761140,Announcements,187
002070472,Announcements,188
240390677,Announcements,189
423866375,Announcements,190
727186286,Announcements,191
000425698,Announcements,192
201950118,Announcements,193
483022715,Announcements,194
601108303,Announcements,195
415386573,Announcements,196
576713925,Announcements,197
720326814,Announcements,198
997674091,Announcements,199
864699724,Announcements,200
825094235,Announcements,201
621775433,Announcements,202
146544828,Announcements,203
215628366,Announcements,204
951329068,Announcements,205
681215623,Announcements,206
176498699,Announcements,207
687802825,Announcements,208
969915907,Announcements,209
265071918,Announcements,210
710906231,Announcements,211
869476022,Announcements,212
102328800,Announcements,213
392310933,Announcements,214
845643291,Announcements,215
135985058,Announcements,216
932000843,Announcements,217
811132286,Announcements,218
526681663,Announcements,219
348390911,Announcements,220
104869328,Announcements,221
391593954,Announcements,222
087458946,Announcements,223
247956263,Announcements,224
642158767,Announcements,225
376213835,Announcements,226
897000613,Announcements,227
278129156,Announcements,228
322768120,Announcements,229
991392499,Announcements,230
537409968,Announcements,231
442240499,Announcements,232
240389979,Announcements,233
055867917,Announcements,234
957285362,Announcements,235
849506226,Announcements,236
110597906,Announcements,237
657101496,Announcements,238
365772324,Announcements,239
860676126,Announcements,240
130526707,Announcements,241
418732687,Announcements,242
537409968,Announcements,243
628893174,Announcements,244
609366509,Announcements,245
327225997,Announcements,246
039523069,Announcements,247
383567236,Announcements,248
866267493,Announcements,249
135985058,Announcements,250
358040553,Announcements,251
636934052,Announcements,252
327225997,Announcements,253
505318184,Announcements,254
182620984,Announcements,255
601108303,Announcements,256
730217592,Announcements,257
458016762,Announcements,258
436291288,Announcements,259
863983022,Announcements,260
802232059,Announcements,261
640443176,Announcements,262
915997193,Announcements,263
204873899,Announcements,264
082000655,Announcements,265
247956263,Announcements,266
961836756,Announcements,267
966784135,Announcements,268
428275780,Announcements,269
092376513,Announcements,270
850302164,Announcements,271
831799272,Announcements,272
490493532,Announcements,273
733017154,Announcements,274
493121602,Announcements,275
887004501,Announcements,276
061713539,Announcements,277
711565843,Announcements,278
583314118,Announcements,279
009181190,Announcements,280
170125504,Announcements,281
842038097,Announcements,282
934024513,Announcements,283
883412370,Announcements,284
175504767,Announcements,285
222071328,Announcements,286
839240340,Announcements,287
745072215,Announcements,288
597790271,Announcements,289
431992650,Announcements,290
652847645,Announcements,291
973966161,Announcements,292
811132286,Announcements,293
686396464,Announcements,294
299523749,Announcements,295
311472499,Announcements,296
317534242,Announcements,297
269102571,Announcements,298
981198949,Announcements,299
215922586,Announcements,300
287756751,Announcements,301
896433155,Announcements,302
414963672,Announcements,303
008194197,Announcements,304
005384491,Announcements,305
121806052,Announcements,306
337618098,Announcements,307
151173459,Announcements,308
600244101,Announcements,309
456815142,Announcements,310
422345289,Announcements,311
419271646,Announcements,312
831273885,Announcements,313
425516336,Announcements,314
215520373,Announcements,315
801892732,Announcements,316
428811114,Announcements,317
209853116,Announcements,318
756621592,Announcements,319
355129085,Announcements,320
616020145,Announcements,321
661170061,Announcements,322
689084425,Announcements,323
194536467,Announcements,324
588180501,Announcements,325
640443176,Announcements,326
584132402,Announcements,327
601108303,Announcements,328
310950424,Announcements,329
299481825,Announcements,330
358907060,Announcements,331
186815365,Announcements,332
018760464,Announcements,333
505318184,Announcements,334
944185913,Announcements,335
539415861,Announcements,336
262788041,Announcements,337
325622412,Announcements,338
934024513,Announcements,339
062395479,Announcements,340
860676126,Announcements,341
120109825,Announcements,342
252545859,Announcements,343
055867917,Announcements,344
255198104,Announcements,345
975003349,Announcements,346
381833875,Announcements,347
103202140,Announcements,348
518613643,Announcements,349
489422528,Announcements,350
373389465,Announcements,351
719070962,Announcements,352
442637314,Announcements,353
580624494,Announcements,354
303017057,Announcements,355
596771164,Announcements,356
918808779,Announcements,357
439074790,Announcements,358
087458946,Announcements,359
863966014,Announcements,360
940754796,Announcements,361
638601093,Announcements,362
885731447,Announcements,363
818639491,Announcements,364
061180845,Announcements,365
481511257,Announcements,366
906075728,Announcements,367
789632070,Announcements,368
724473105,Announcements,369
058188662,Announcements,370
380540777,Announcements,371
151173459,Announcements,372
850302164,Announcements,373
040910850,Announcements,374
871052623,Announcements,375
957538494,Announcements,376
936664468,Announcements,377
176498699,Announcements,378
864699724,Announcements,379
341301511,Announcements,380
952484274,Announcements,381
328877670,Announcements,382
231122457,Announcements,383
402968085,Announcements,384
385877364,Announcements,385
178210899,Announcements,386
890969724,Announcements,387
871964309,Announcements,388
260454043,Announcements,389
122379561,Announcements,390
537409968,Announcements,391
795376926,Announcements,392
211127786,Announcements,393
024897126,Announcements,394
839240340,Announcements,395
762340889,Announcements,396
708668747,Announcements,397
241059610,Announcements,398
104869328,Announcements,399
741290749,Announcements,400
650304743,Announcements,401
996961281,Announcements,402
891476972,Announcements,403
862910564,Announcements,404
560176995,Announcements,405
485344529,Announcements,406
940975054,Announcements,407
818471689,Announcements,408
956744264,Announcements,409
705570488,Announcements,410
422771209,Announcements,411
831799272,Announcements,412
543709257,Announcements,413
049810378,Announcements,414
445092317,Announcements,415
466822615,Announcements,416
505318184,Announcements,417
560176995,Announcements,418
092376513,Announcements,419
127040567,Announcements,420
423866375,Announcements,421
635310198,Announcements,422
301155166,Announcements,423
896433155,Announcements,424
011947902,Announcements,425
264792793,Announcements,426
818471689,Announcements,427
180017380,Announcements,428
418732687,Announcements,429
029677308,Announcements,430
885126211,Announcements,431
446132969,Announcements,432
474505687,Announcements,433
